X_mm;Y_mm;Z_mm
5.028896394973124018e+01;7.596320971006092293e+01;1.024131783184318634e+00
6.135618062121822902e+01;7.589730631132670169e+01;1.432788562682652200e+00
2.069565774006494507e+02;7.386449480009787294e+01;1.036124304516252703e+00
7.479418083978228537e+01;7.586338933486699432e+01;1.150483868090497408e+00
7.185427910409813990e+01;7.593475236618368740e+01;2.089577748734650076e+00
1.308407690439244675e+02;7.465215396357108091e+01;2.375933019959645343e+00
2.354376399318052506e+02;7.256547759675156328e+01;1.415474683687244717e+00
2.484611731025894343e+01;7.635524940025877072e+01;1.235185596450812939e-01
1.031451074839786912e+02;7.575879426089115043e+01;3.796930167708529424e+00
7.394705560136826250e+01;7.596677672370488210e+01;2.958250257231728853e+00
1.325348146527107360e+02;7.486935626512716624e+01;3.415476543101670703e+00
4.636867645951053163e+01;7.631757506431659976e+01;9.691484532889345083e-01
2.337810269517189283e+02;7.332306512937454102e+01;5.458769420548663653e-01
6.735782562573089649e+01;7.580556057527783764e+01;1.534260859447653891e+00
1.593827363625327962e+02;7.454046825059639048e+01;2.523315308815905045e+00
1.258176377512697428e+02;7.501450295596923468e+01;2.041882366075543409e+00
4.540511441682107119e+01;7.635868101607869107e+01;1.089973967107991992e+00
9.334056405243364907e+01;7.534250151192006228e+01;4.359196941411316306e-01
8.276559575293012472e+01;7.546336322336965452e+01;9.424232325534059873e-02
2.138312892276508705e+02;7.396250622296113875e+01;3.734142350028486490e+00
2.099758532083693296e+02;7.343971613622747441e+01;1.031902595119341459e+00
4.489122926703498706e+01;7.641847073480258246e+01;1.513634927182324175e+00
2.018664420955602452e+02;7.392023776590441742e+01;4.931896687440859850e+00
8.983455494706441868e+01;7.532971083527895928e+01;9.501754572872598281e-01
1.058568261395496677e+02;7.516438417838270425e+01;3.296485096770489953e+00
1.974825333682346411e+02;7.360412898758868039e+01;2.630350816006527537e-01
4.539928717226838017e+01;7.639483790923088691e+01;1.420042974132325497e+00
1.066723300399737440e+02;7.483298718895788681e+01;2.537080117705187710e-01
2.428013343212004429e+02;7.301634543561553414e+01;1.196065539734195576e-01
2.243741318802223645e+02;7.280291475729401895e+01;1.153880520301535206e+00
1.977487604662594549e+02;7.471452271768305309e+01;4.356435680737490657e+00
9.082177803034063857e+01;7.541931812272530067e+01;4.708435490945470092e-01
7.686752584810052724e+01;7.545411182412688333e+01;7.646739224696061377e-02
2.275075524054552432e+02;7.252014245496970091e+01;1.022561941825260057e+00
4.588039684274406937e+01;7.633349783773817876e+01;1.097039938075146548e+00
8.179916684355197276e+01;7.590111452259408509e+01;3.357209729101424678e+00
2.343186087892672731e+02;7.339700477883444307e+01;4.968077128840926449e+00
2.033301573782146079e+02;7.445728094060196156e+01;4.950506757546270897e+00
2.383216871876439029e+02;7.293596403290736419e+01;4.601446688376870653e-01
1.633891805919293461e+02;7.477766905047249679e+01;2.118569864708934603e+00
2.203425795207508600e+02;7.364624913330415268e+01;5.421261274507333638e+00
2.423165846595977655e+02;7.296107482218197049e+01;5.195819166602447803e-01
1.303159549862571396e+02;7.541122231024277767e+01;3.309409929075107559e+00
1.918518878615201686e+02;7.452587324122430346e+01;4.559521628102096713e+00
2.303912286540876835e+02;7.394413189364055938e+01;4.863947342789038508e+00
2.475393559829401013e+01;7.643435418190782116e+01;5.424479838553196709e-01
2.024335689596562915e+01;7.618324685096057181e+01;-1.615521204240305889e-02
2.343777235818185432e+02;7.247482000563083204e+01;7.126791578073631284e-01
2.198937609191516174e+02;7.355155935404317802e+01;1.007641899512980777e+00
2.089852477932796759e+01;7.645466556569147087e+01;4.581779274767548427e-01
2.207672383996614656e+02;7.405242439850030678e+01;4.965621704960786253e+00
4.644390538864638529e+01;7.626994777060416197e+01;7.287232957634464103e-01
7.391578867888502202e+01;7.601471212468317162e+01;2.484958269362750549e+00
4.991719478885059402e+01;7.591084754454512051e+01;2.047971472277086979e-01
6.874583182475461740e+01;7.601386922233342602e+01;2.133355892087899441e+00
4.685880896273511098e+01;7.625827342231855255e+01;7.197655231343613735e-01
1.228619763209447484e+02;7.456389099519728347e+01;1.028994956300713914e+00
1.363407961584748307e+02;7.437708438528770216e+01;1.087458114569897161e+00
1.973754788366044011e+02;7.331100476319711845e+01;1.505227386055185690e+00
7.382480139195315871e+01;7.592458168547901209e+01;1.130546376184603297e+00
2.298267491954867410e+02;7.260377423423204846e+01;1.112658304955094435e+00
1.133727413716502781e+02;7.536956685074702023e+01;3.166482493058947245e+00
9.636695325475268703e+01;7.587714839130030953e+01;3.470992273018525420e+00
4.690295605933334855e+01;7.600809095492903111e+01;6.699347922560091595e-01
7.782972205570131052e+01;7.545893443873643491e+01;4.951199665478197565e-01
4.886340451896400339e+01;7.609005449584715564e+01;5.846938314078465870e-01
2.056590088945608841e+02;7.419780977257120469e+01;4.783594021876780289e+00
1.203476240378844011e+02;7.550263332555229567e+01;3.055728738543247225e+00
1.910122777041525239e+02;7.475131914104427722e+01;4.528438812616034426e+00
4.734851301125604550e+01;7.629008142144829208e+01;9.594368815011712348e-01
2.473779063540151526e+02;7.286073676546693889e+01;3.495557390294437905e+00
2.274367962372496947e+02;7.302114437569227334e+01;5.306360923164077370e-01
4.786321872975884872e+01;7.627179253521170210e+01;9.417344591173945068e-01
5.985051845900120071e+01;7.595758756248353905e+01;1.003777638883735390e+00
2.443232460889503272e+02;7.349517926119068534e+01;4.668322404059258801e+00
4.835541408395402385e+01;7.626802472105336506e+01;9.578869137236958320e-01
1.014879387954821226e+02;7.591134173328474333e+01;3.112783407034418470e+00
2.077931042307492859e+01;7.617400408710467730e+01;1.024794100021942045e+00
1.349233926801115331e+02;7.456150431033185555e+01;2.374951510476729144e+00
1.048730417771089520e+02;7.528099839967455864e+01;5.855259195764814795e-01
1.958476311869332847e+02;7.445615687302232288e+01;4.908418797048105020e+00
1.043644205054565930e+02;7.550567789668119190e+01;3.501919177317782239e+00
1.240445810027532474e+02;7.435862799817664381e+01;5.760949936526401638e-01
7.079768202306649982e+01;7.561581375889350909e+01;1.555911699091353517e+00
6.336336279637584568e+01;7.591867666902439282e+01;1.052579178837825591e+00
1.223306237550435611e+02;7.499346618944601062e+01;5.670085043348681575e-01
4.887451777664294639e+01;7.596588202972618831e+01;9.941684989201550193e-01
7.789174405570678061e+01;7.551869578667164262e+01;1.073580559727423500e+00
2.274839308454519085e+02;7.388808489697683513e+01;4.549431610308086071e+00
2.128431676446246570e+02;7.291938352116633837e+01;1.090039185998728621e+00
2.214421441464930922e+02;7.398741610244753986e+01;4.617629146237024251e+00
1.932457310913232504e+02;7.477033219593748470e+01;4.175564753825818265e+00
1.788358890806202339e+01;7.634322588408373633e+01;-4.586790213845029496e-02
1.910162606190111205e+02;7.478727195601584299e+01;4.874248783542030949e+00
1.248644432214415758e+02;7.535582678454247230e+01;1.963402690147868723e+00
1.623649174678087661e+02;7.408659710502932683e+01;2.589269140711613737e+00
7.240350491988539261e+01;7.591469553891118949e+01;1.164715985066675952e+00
7.931917624145926027e+01;7.572898206289534073e+01;4.185714073872134344e-01
2.168569523807805979e+02;7.440404485396824441e+01;4.460032901798974159e+00
4.784245582201383229e+01;7.597647529769142238e+01;7.036966026485961256e-01
2.343238688134864560e+02;7.380701702142586385e+01;4.022396514100308629e+00
7.339192082381310911e+01;7.585805822578711854e+01;2.954849578648744757e+00
5.686196755280299442e+01;7.595820252504188375e+01;1.071744646090841524e+00
7.834633127643014916e+01;7.573624629951910947e+01;5.593956887723634530e-01
1.254092978993487151e+02;7.496511193920868266e+01;1.945626267932797804e+00
2.413265167469631649e+02;7.329313617681279425e+01;4.513695273291223886e-01
2.240561388449324909e+01;7.618111831358783093e+01;1.187980519260384060e+00
2.154832384471082207e+02;7.423124365755666076e+01;4.946266483697836058e+00
2.078498728796216710e+02;7.393221201672737664e+01;4.609753083070333268e+00
4.937772177373972227e+01;7.610941576365588901e+01;5.876603961406517973e-01
2.239158873677905035e+02;7.276992667535675707e+01;1.451717414812832452e+00
6.937372860875755975e+01;7.564729529019435006e+01;2.119456280030560080e+00
9.529438836443659966e+01;7.506107990320131762e+01;1.006050297788397829e+00
1.248471342464303007e+02;7.500059028972736996e+01;9.973173220256388305e-01
4.987312432662001527e+01;7.607455439122777818e+01;5.991271970633939015e-01
1.038179168025221912e+02;7.552254276046211601e+01;3.177225330811729087e+00
2.013652438656114327e+02;7.465979364913519589e+01;4.199034081633048032e+00
1.153351742065950560e+02;7.458919226054020157e+01;6.282245942795452454e-01
1.337712743488442300e+02;7.517321513633507379e+01;2.687185358240770316e+00
1.169464062478152186e+02;7.525580191969876864e+01;6.631692718537097742e-01
7.633883653900382171e+01;7.541961831184612208e+01;4.388605494317410760e-01
5.653793614326497163e+01;7.590536770956758517e+01;9.902396147941878723e-01
1.219941221085815357e+02;7.493805487498069340e+01;1.020030512749575236e+00
1.939158966836528748e+02;7.381846403123948619e+01;9.969335968863740627e-01
2.439631246006264291e+02;7.386510603699069577e+01;4.839692180845243108e+00
7.898375540571664999e+01;7.517676326361480221e+01;1.495898894269671042e-01
1.359087544817380149e+02;7.460288744785719928e+01;2.357104679299653505e+00
1.368985551126113478e+02;7.488154645079829663e+01;7.648260122008845308e-01
7.882835215624011482e+01;7.587031582511930594e+01;1.477339903664918852e+00
7.536434850919665962e+01;7.583073719038030447e+01;1.082360641678330238e+00
8.216100227903289976e+01;7.569965370731685539e+01;1.942721778754147088e+00
1.388346760839436058e+02;7.461415574944668094e+01;3.144779169022574816e+00
1.173781746155137995e+02;7.542492534568276596e+01;3.876988410722006950e+00
1.353668100488467871e+02;7.533364873347352386e+01;2.921136899850344637e+00
2.424824248071780062e+02;7.243222430363758235e+01;1.368067740799603582e+00
7.180161080705681798e+01;7.596710586089984929e+01;1.186437097790387529e+00
1.583561353475409987e+02;7.408670517289831992e+01;2.021664951289517287e+00
5.835757315711797588e+01;7.600542899101361627e+01;7.172600514165213825e-01
1.063443386403097861e+02;7.485046020909435072e+01;9.307139398201409453e-01
4.788602116407871989e+01;7.607771531561454026e+01;1.409921830070200333e+00
1.603889721064162757e+02;7.478264647984727276e+01;2.490662958283938799e+00
2.003238963833198341e+02;7.447792763182701492e+01;4.929720977822339201e+00
6.632392143136122797e+01;7.592933024977917000e+01;1.100424281156357820e+00
5.888047830781728464e+01;7.594541607923805770e+01;9.798406523022176184e-01
1.962736413451457054e+02;7.471833797772406172e+01;4.295290468907640324e+00
2.003519098513469885e+02;7.383127470299123729e+01;1.462945467367775088e+00
